gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
87,5.175903314894624,4.330759897451262,0.0,1.0264719771475665,3.513,3.741,2.855,9.778,9.663,0.52
88,5.177162520444583,4.1832804529844205,0.0,1.0296015831657068,3.398,3.86,2.974,9.746,9.395,0.472
89,5.180295394267944,3.9229231383031093,0.0,1.1082261847485475,3.933,3.9,2.957,9.713,9.708,0.512
90,5.180295394267944,4.089784326433042,2.480694031610996,0.8299552890471178,3.526,3.609,2.892,9.863,9.658,0.516
91,5.180295394267944,4.128805023890632,2.4962750062604604,0.7557720118715503,3.52,3.587,2.882,9.944,9.559,0.522
92,5.180295394267944,3.945595688282572,2.473659004904752,0.7161541694535929,3.27,3.487,2.921,9.889,9.299,0.484
93,5.180295394267944,4.087123584085753,2.0476952259384613,0.7954372279325413,3.37,3.68,3.063,9.811,9.933,0.435
94,5.180295394267944,3.951655482551831,0.0,1.1521682473182642,3.503,3.674,3.093,9.548,9.59,0.417
95,5.182168396452161,3.96130100080818,0.0,1.1639849442269017,3.395,3.778,3.005,9.75,9.351,0.415
96,5.182168396452161,3.9762380837233287,0.0,1.0459293043327011,3.27,3.374,3.085,9.639,9.711,0.401
97,5.182168396452161,3.9872537770416163,0.0,1.1177799841215954,3.518,3.808,3.264,9.43,9.77,0.416
98,5.182168396452161,4.119391242219481,0.0,1.1903080556230274,3.37,3.685,3.389,9.387,9.574,0.365
99,5.182168396452161,4.290491001211539,2.057716960231967,0.860306013534467,3.448,3.673,3.597,9.912,9.383,0.308
