gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
100,3.1312,2.3378,2.9729,5.8463,7.7356,3.149,1.0981,1.0564,0.1609,1.0507,1.046,0.3333,0.6825,0.9071,0.3985,0.4274,0.0518,0.9137,0.8174,1.0456,0.5399,0.0863,0.0511,0.104,0.023,0.0128,0.0205
105,1.5126,2.2456,1.1409,8.0796,8.0557,1.2654,1.1548,1.0564,0.4774,1.0987,1.046,0.3048,0.7294,0.9835,0.5315,0.2581,0.0518,0.4382,0.7877,1.0456,0.6583,0.0402,0.01,0.0708,0.0251,0.0129,0.0149
110,1.7485,2.0937,1.5387,8.6337,9.0448,1.6549,1.0977,1.0564,0.4104,1.1355,1.046,0.5438,0.8222,0.9835,0.4943,0.2213,0.0567,0.371,0.8764,1.0456,0.5557,0.0203,0.01,0.0306,0.0216,0.0124,0.0144
115,2.3076,2.4999,1.3747,8.2399,9.17,2.755,1.0533,1.0583,0.4576,0.8902,1.0408,0.3115,0.7419,0.9835,0.5529,0.136,0.0524,0.2703,0.7107,0.9633,0.6362,0.0134,0.01,0.0077,0.026,0.0129,0.0258
120,1.5043,0.2067,1.7516,7.8862,9.3712,3.0031,0.8915,1.0564,0.3465,1.138,1.0408,0.4611,0.9642,0.9835,0.3928,0.204,0.1363,0.3213,0.8254,1.0456,0.421,0.0125,0.01,0.0061,0.0277,0.0303,0.0139
125,1.8492,0.6201,2.0246,9.3907,10.0,1.8299,0.7528,0.9934,0.4533,0.999,0.874,0.4953,0.8861,0.9911,0.4486,0.0682,0.0691,0.0609,0.8803,1.0456,0.3937,0.0154,0.0109,0.0064,0.0257,0.0124,0.0221
130,1.2305,0.2108,2.3388,8.1578,10.0,3.4684,1.0708,1.0564,0.1267,1.0411,1.0356,0.3406,0.9457,0.9911,0.2394,0.0741,0.071,0.0974,0.8381,1.0603,0.5361,0.0158,0.01,0.0079,0.0454,0.0429,0.0297
135,3.8085,0.576,4.4354,8.2719,9.2378,2.2704,1.0156,1.0564,0.119,1.0779,1.0356,0.4035,0.9941,0.9911,0.4004,0.0706,0.0125,0.1115,0.9005,0.9234,0.8,0.014,0.01,0.0072,0.0728,0.0433,0.0531
140,0.8922,0.3117,2.2635,8.6127,9.3368,1.9041,1.0561,1.0564,0.1521,1.0232,1.0907,0.254,1.0555,0.9911,0.3938,0.1257,0.0568,0.1319,0.5421,0.6932,0.4702,0.0119,0.01,0.0042,0.0648,0.0433,0.0692
145,0.373,0.428,0.2383,6.8291,7.5068,3.2212,1.1639,1.0564,0.437,1.173,1.1198,0.5218,0.9305,0.9911,0.5475,0.1007,0.0211,0.2152,0.6394,0.8792,0.4366,0.0116,0.01,0.0049,0.0871,0.0485,0.082
150,0.4349,0.428,0.3831,7.7974,7.5068,2.3839,1.0837,1.0564,0.2944,1.1116,1.0356,1.2263,0.945,0.9911,0.5426,0.163,0.0211,0.2519,0.8063,0.9359,0.4052,0.0123,0.0111,0.0042,0.1171,0.1002,0.0973
155,0.343,0.2941,0.1376,8.336,7.5068,1.1891,0.9791,0.8093,0.3589,1.0258,1.0907,0.417,0.7377,0.9911,0.3952,0.0663,0.0115,0.1422,0.6951,0.9234,0.6156,0.0137,0.0108,0.0086,0.0742,0.0433,0.0762
160,0.4578,0.3875,0.3992,8.0431,9.9779,2.7907,0.9243,0.9416,0.3665,1.0255,1.0356,0.2998,0.9002,0.9911,0.4431,0.0201,0.0117,0.0126,0.5425,0.8115,0.5603,0.0125,0.0108,0.0056,0.1176,0.0885,0.0929
165,0.2461,0.052,0.416,7.2511,8.679,3.5895,0.9617,0.996,0.1146,0.9395,1.0356,0.2562,0.9029,0.9911,0.275,0.0525,0.0407,0.0423,0.7613,0.9136,0.453,0.012,0.0104,0.0053,0.1696,0.103,0.1607
170,0.2968,0.216,0.3681,9.0729,10.0,2.207,0.9572,1.0055,0.0992,0.9876,1.0356,0.0958,0.8765,0.9911,0.4726,0.0702,0.1076,0.0508,0.8041,0.9136,0.6304,0.0147,0.0102,0.0087,0.1353,0.1166,0.0607
175,0.4475,0.0613,0.6463,8.7585,10.0,2.45,0.8615,0.9822,0.3154,1.1399,1.0384,0.4446,0.9574,0.9911,0.3866,0.095,0.1181,0.046,0.9413,0.9263,0.7431,0.0146,0.0111,0.0075,0.1335,0.1276,0.0813
180,0.174,0.052,0.313,8.7152,10.0,2.2453,0.9292,0.9909,0.3919,1.2328,1.046,0.672,0.9483,0.9911,0.2052,0.1077,0.1181,0.0371,0.6469,0.9122,0.4186,0.0143,0.0126,0.0062,0.1208,0.0912,0.0811
185,0.0848,0.052,0.1314,7.6428,9.6929,3.4146,0.9083,0.9909,0.3642,1.101,1.0101,0.4254,1.1082,0.9911,0.6175,0.1158,0.1181,0.0174,0.5006,0.7804,0.4291,0.0136,0.0126,0.0064,0.1579,0.1125,0.1645
190,0.1499,0.052,0.4129,8.5296,9.8456,2.6559,0.8847,1.0055,0.3245,1.059,1.0101,0.2952,1.0454,1.0352,0.2102,0.1309,0.1206,0.0619,0.6701,0.7804,0.3565,0.0118,0.0105,0.004,0.1598,0.1303,0.0885
195,0.12,0.052,0.2988,7.0954,8.3101,3.5214,0.9507,1.0055,0.1638,1.0233,1.0101,0.3437,1.0356,1.0072,0.3268,0.1633,0.1206,0.1654,0.5904,0.7695,0.3686,0.0108,0.01,0.0029,0.1205,0.1309,0.0427
200,0.061,0.0478,0.0393,4.5835,1.1331,3.9618,0.9462,1.0055,0.1848,0.8857,1.0101,0.3568,1.1691,1.0553,0.6007,0.1519,0.1172,0.1884,0.7321,0.8498,0.4039,0.0105,0.01,0.0008,0.1181,0.134,0.0659
205,0.0652,0.0437,0.0366,3.9078,1.1297,3.8931,0.9399,0.9499,0.4024,0.9436,1.0041,0.4041,0.8857,1.0553,0.5178,0.1761,0.016,0.2827,0.3876,0.015,0.5105,0.0129,0.0106,0.0063,0.1217,0.1377,0.0445
210,0.0545,0.0424,0.0361,3.3072,1.1257,3.5309,0.96,1.0055,0.3005,1.0842,1.0101,0.4283,0.7882,1.0393,0.3997,0.0726,0.0151,0.1216,0.7141,0.8845,0.3608,0.0133,0.0111,0.0067,0.1279,0.1377,0.0342
215,0.0647,0.0424,0.0468,3.6441,3.9934,3.5655,1.1066,1.0055,0.4255,1.0105,1.0101,0.343,0.8405,1.0553,0.4035,0.0839,0.013,0.1401,0.7677,0.8845,0.4527,0.0138,0.0108,0.007,0.1356,0.1377,0.0206
220,0.0441,0.0424,0.0189,0.8217,0.0984,1.9545,1.0284,1.0342,0.2243,0.9847,1.0101,0.4595,0.8119,1.0493,0.398,0.1175,0.0134,0.2089,0.881,0.9439,0.2317,0.0132,0.0112,0.0063,0.1346,0.1377,0.0445
225,0.0527,0.0388,0.0448,1.0997,0.4357,1.8031,1.0152,1.0061,0.4115,0.9748,1.0101,0.1163,0.7488,1.0393,0.4924,0.1297,0.0141,0.2161,0.811,0.9474,0.3405,0.0114,0.01,0.0039,0.1293,0.1377,0.0267
